ref_source_normalized,url_entrada_normalized,url_salida_normalized,sessions,avg_duration_seconds,avg_clicks,avg_pages,bounce_proxy_rate,abandono_rapido_rate,frustration_rate,engagement_score_avg,flow_path
Direct/Unknown,https://cloudlabslearning.com/downloads,https://cloudlabslearning.com/,28,460.39285714285717,4.821428571428571,3.0357142857142856,0.0,0.0,0.03571428571428571,0.734276393921885,Direct/Unknown -> https://cloudlabslearning.com/downloads -> https://cloudlabslearning.com/
Direct/Unknown,https://cloudlabslearning.com/certification,https://cloudlabslearning.com/certification,26,374.9230769230769,0.07692307692307693,1.1538461538461537,1.0,0.8846153846153846,0.0,0.4409797598201571,Direct/Unknown -> https://cloudlabslearning.com/certification -> https://cloudlabslearning.com/certification
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/testimonials-and-experiences,26,223.23076923076923,11.307692307692308,3.3461538461538463,0.0,0.0,0.11538461538461539,0.25284150428253505,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/testimonials-and-experiences
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/middle-school,25,452.68,25.56,4.84,0.0,0.0,0.08,0.9947621762951271,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/middle-school
External,https://cloudlabslearning.com/blogs-and-news/92,https://cloudlabslearning.com/blogs-and-news/92,24,199.41666666666666,1.0416666666666667,1.125,1.0,0.9166666666666666,0.0,0.03447899580387654,External -> https://cloudlabslearning.com/blogs-and-news/92 -> https://cloudlabslearning.com/blogs-and-news/92
External,https://cloudlabslearning.com/,https://cloudlabslearning.com/testimonials-and-experiences,24,475.5,14.5,4.666666666666667,0.0,0.0,0.041666666666666664,0.9144130067966673,External -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/testimonials-and-experiences
https://cloudlabslearning.com/,https://cloudlabslearning.com/hybrid-laboratories,https://cloudlabslearning.com/hybrid-laboratories,23,168.3913043478261,0.782608695652174,1.0434782608695652,1.0,0.9565217391304348,0.0,-0.04385327447695548,https://cloudlabslearning.com/ -> https://cloudlabslearning.com/hybrid-laboratories -> https://cloudlabslearning.com/hybrid-laboratories
Direct/Unknown,https://cloudlabslearning.com/,https://cloudlabslearning.com/support,22,598.8181818181819,9.227272727272727,3.5,0.0,0.0,0.045454545454545456,1.1242164991963677,Direct/Unknown -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/support
Direct/Unknown,https://cloudlabslearning.com/error-invitation/confirmed,https://cloudlabslearning.com/error-invitation/confirmed,21,129.95238095238096,1.1428571428571428,1.4761904761904763,1.0,0.8095238095238095,0.0,-0.12328035411023655,Direct/Unknown -> https://cloudlabslearning.com/error-invitation/confirmed -> https://cloudlabslearning.com/error-invitation/confirmed
Direct/Unknown,https://cloudlabslearning.com/register/ACDC632DA9,https://cloudlabslearning.com/register/ACDC632DA9,20,31.25,10.95,1.0,1.0,1.0,0.55,-0.2499125843666267,Direct/Unknown -> https://cloudlabslearning.com/register/ACDC632DA9 -> https://cloudlabslearning.com/register/ACDC632DA9
Direct/Unknown,https://cloudlabslearning.com/register/BF83F8C319,https://cloudlabslearning.com/register/BF83F8C319,20,157.75,6.8,1.5,1.0,0.9,0.15,0.010544314984508496,Direct/Unknown -> https://cloudlabslearning.com/register/BF83F8C319 -> https://cloudlabslearning.com/register/BF83F8C319
Direct/Unknown,https://cloudlabslearning.com/curriculum,https://cloudlabslearning.com/curriculum,19,288.0,0.6842105263157895,1.368421052631579,1.0,0.8421052631578947,0.0,0.24527475780276306,Direct/Unknown -> https://cloudlabslearning.com/curriculum -> https://cloudlabslearning.com/curriculum
External,https://cloudlabslearning.com/,https://cloudlabslearning.com/certification,18,404.8888888888889,15.555555555555555,4.111111111111111,0.0,0.0,0.05555555555555555,0.7491001802678645,External -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/certification
Direct/Unknown,https://cloudlabslearning.com/testimonials-and-experiences,https://cloudlabslearning.com/testimonials-and-experiences,18,108.22222222222223,1.5,1.2222222222222223,1.0,0.8333333333333334,0.0,-0.175250916110213,Direct/Unknown -> https://cloudlabslearning.com/testimonials-and-experiences -> https://cloudlabslearning.com/testimonials-and-experiences
External,https://cloudlabslearning.com/,https://cloudlabslearning.com/support,18,470.55555555555554,14.222222222222221,3.7777777777777777,0.0,0.0,0.1111111111111111,0.8834911831294092,External -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/support
Direct/Unknown,https://cloudlabslearning.com/register/4D1AF0A62F,https://cloudlabslearning.com/register/4D1AF0A62F,17,85.94117647058823,8.764705882352942,1.0,1.0,1.0,0.4117647058823529,-0.14581377527866293,Direct/Unknown -> https://cloudlabslearning.com/register/4D1AF0A62F -> https://cloudlabslearning.com/register/4D1AF0A62F
Direct/Unknown,https://cloudlabslearning.com/elementary-school,https://cloudlabslearning.com/,17,339.1764705882353,5.411764705882353,4.176470588235294,0.0,0.0,0.058823529411764705,0.47332228683725086,Direct/Unknown -> https://cloudlabslearning.com/elementary-school -> https://cloudlabslearning.com/
